text,label,type_of_problem
The model is not better than the baseline.,ham,negation_modality
He tuned the bass before the concert.,ham,wsd
Slides updated—see v2.1 notes 👍,ham,oov
We may postpone the release until Monday.,ham,negation_modality
Brilliant offer: absolutely free if you pay shipping: https://gift.example/149,spam,sarcasm
Kavya called Vikram since she ignored the alert—fix: https://gift.example/506,spam,coreference_anaphora
You should not remove the validation split.,ham,negation_modality
We picnicked on the bank and watched the boats.,ham,wsd
Kavya handed the laptop to Arun while she packed the cables.,ham,coreference_anaphora
"Although the interface is simple, new users struggle.",ham,discourse_relations
Fantastic job breaking the build again.,ham,sarcasm
He wrote a parser in Java for the assignment.,ham,wsd
It never converged on the small dataset.,ham,negation_modality
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
We may postpone the release until Monday.,ham,negation_modality
Maya handed the laptop to Nikhil while he packed the cables.,ham,coreference_anaphora
"Great, another crash—just what I needed.",ham,sarcasm
Slides updated—see v2.1 notes 👍,ham,oov
"Wonderful timing, we 'randomly' picked you for a reward: https://pay.example/910",spam,sarcasm
"Because your trial ended, renew now to avoid suspension: https://pay.example/847",spam,discourse_relations
They grilled the bass with lemon and herbs.,ham,wsd
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
"Brilliant, the slides loaded without images.",ham,sarcasm
Fantastic job breaking the build again.,ham,sarcasm
"Wonderful timing, we 'randomly' picked you for a reward: https://secure.example/996",spam,sarcasm
Sara emailed Vikram when he reached the office.,ham,coreference_anaphora
"Even though it was late, they kept debugging.",ham,discourse_relations
Maya argued with Rahul since she missed the deadline.,ham,coreference_anaphora
"Naya patch aaya hai, check karna.",ham,oov
She bought a fresh apple at the market.,ham,wsd
"Win ₹10,000 now #HotDealz 😎 tap → https://dealz.example/492",spam,oov
"Although the interface is simple, new users struggle.",ham,discourse_relations
He wrote a parser in Java for the assignment.,ham,wsd
Isha called Amit since she ignored the alert—fix: https://dealz.example/662,spam,coreference_anaphora
The fix could improve latency.,ham,negation_modality
"Oh perfect, the network died during the demo.",ham,sarcasm
He wrote a parser in Java for the assignment.,ham,wsd
"After verification, your prize will be released: https://promo.example/352",spam,discourse_relations
Slides updated—see v2.1 notes 👍,ham,oov
Win a free bass guitar! Confirm shipping: https://bank.example/819,spam,wsd
Exactly what I wanted—more flaky tests.,ham,sarcasm
Exactly what I wanted—more flaky tests.,ham,sarcasm
Slides updated—see v2.1 notes 👍,ham,oov
Isha called Kunal after he finished the report.,ham,coreference_anaphora
"Build baar baar fail ho raha hai, yaar.",ham,oov
"Great, another crash—just what I needed.",ham,sarcasm
"Before the deadline, complete KYC to continue: https://air.example/696",spam,discourse_relations
Brilliant offer: absolutely free if you pay shipping: https://secure.example/813,spam,sarcasm
"Wonderful timing, we 'randomly' picked you for a reward: https://secure.example/605",spam,sarcasm
The fix could improve latency.,ham,negation_modality
We may postpone the release until Monday.,ham,negation_modality
Apple giveaway—claim your laptop now: https://gift.example/186,spam,wsd
We might deploy on Friday if tests pass.,ham,negation_modality
Riya praised Rahul as she qualified for a reward: https://verify.example/549,spam,coreference_anaphora
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
"Before the deadline, complete KYC to continue: https://verify.example/132",spam,discourse_relations
"Before the deadline, complete KYC to continue: https://promo.example/651",spam,discourse_relations
Yeh feature kaafi helpful tha.,ham,oov
The model is not better than the baseline.,ham,negation_modality
FR33 access 2 premium vids ➜ https://dealz.example/388,spam,oov
It never converged on the small dataset.,ham,negation_modality
A crane stood quietly by the lake at dawn.,ham,wsd
Exactly what I wanted—more flaky tests.,ham,sarcasm
Model output thoda weird lag raha hai.,ham,oov
"Naya patch aaya hai, check karna.",ham,oov
We improved throughput since the cache was tuned.,ham,discourse_relations
"After verification, your prize will be released: https://verify.example/171",spam,discourse_relations
Exactly what I wanted—more flaky tests.,ham,sarcasm
Fantastic job breaking the build again.,ham,sarcasm
"Perf spiked on dataset_z13b, investigating.",ham,oov
You must update billing immediately: https://gift.example/398,spam,negation_modality
Get r!ch fast 💸 join: https://pay.example/107,spam,oov
Priya praised Sanjay as he solved the issue quickly.,ham,coreference_anaphora
"Build baar baar fail ho raha hai, yaar.",ham,oov
Isha handed the laptop to Ravi while he packed the cables.,ham,coreference_anaphora
"Although the interface is simple, new users struggle.",ham,discourse_relations
You should not remove the validation split.,ham,negation_modality
Neha handed the laptop to Amit while he packed the cables.,ham,coreference_anaphora
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
We improved throughput since the cache was tuned.,ham,discourse_relations
"Even though it was late, they kept debugging.",ham,discourse_relations
FR33 access 2 premium vids ➜ https://pay.example/197,spam,oov
Apple giveaway—claim your laptop now: https://verify.example/314,spam,wsd
You should not remove the validation split.,ham,negation_modality
They grilled the bass with lemon and herbs.,ham,wsd
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
Exactly what I wanted—more flaky tests.,ham,sarcasm
"After the upgrade finished, tests started failing.",ham,discourse_relations
"Java course 65% OFF, enroll today: https://verify.example/497",spam,wsd
Maya thanked Nikhil because she fixed the bug.,ham,coreference_anaphora
The model is not better than the baseline.,ham,negation_modality
"Java course 60% OFF, enroll today: https://gift.example/618",spam,wsd
The fix could improve latency.,ham,negation_modality
Yeh feature kaafi helpful tha.,ham,oov
Win a free bass guitar! Confirm shipping: https://secure.example/639,spam,wsd
Apple giveaway—claim your laptop now: https://promo.example/979,spam,wsd
Kavya argued with Arun since she missed the deadline.,ham,coreference_anaphora
A crane stood quietly by the lake at dawn.,ham,wsd
"Perfect, another exclusive deal just for you—totally not urgent: https://pay.example/503",spam,sarcasm
The crane lifted the steel beams into place.,ham,wsd
We may postpone the release until Monday.,ham,negation_modality
"Build baar baar fail ho raha hai, yaar.",ham,oov
Brilliant offer: absolutely free if you pay shipping: https://pay.example/697,spam,sarcasm
They grilled the bass with lemon and herbs.,ham,wsd
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
You must include error bars in the report.,ham,negation_modality
You should not remove the validation split.,ham,negation_modality
"Brilliant, the slides loaded without images.",ham,sarcasm
Yeh feature kaafi helpful tha.,ham,oov
"Naya patch aaya hai, check karna.",ham,oov
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
The fix could improve latency.,ham,negation_modality
"Great, another crash—just what I needed.",ham,sarcasm
Apple announced new laptops at the event.,ham,wsd
"Naya patch aaya hai, check karna.",ham,oov
This offer might expire today—act fast: https://pay.example/417,spam,negation_modality
Kavya praised Vikram as he solved the issue quickly.,ham,coreference_anaphora
"Great, another crash—just what I needed.",ham,sarcasm
Maya praised Arun as she solved the issue quickly.,ham,coreference_anaphora
Riya called Arun after she finished the report.,ham,coreference_anaphora
He tuned the bass before the concert.,ham,wsd
"Naya patch aaya hai, check karna.",ham,oov
We may postpone the release until Monday.,ham,negation_modality
"Perfect, another exclusive deal just for you—totally not urgent: https://pay.example/915",spam,sarcasm
FREE gift 🎁 limited time!! go: https://promo.example/773,spam,oov
Yeh feature kaafi helpful tha.,ham,oov
Amazing news—your account is perfectly safe unless you click here: https://bank.example/161,spam,sarcasm
Fantastic job breaking the build again.,ham,sarcasm
"Kal meeting hai, please be on time.",ham,oov
"Kal meeting hai, please be on time.",ham,oov
"Build baar baar fail ho raha hai, yaar.",ham,oov
Win a free bass guitar! Confirm shipping: https://bank.example/247,spam,wsd
"Perf spiked on dataset_z13b, investigating.",ham,oov
It never converged on the small dataset.,ham,negation_modality
new v1agra dealz 60%OFF 👉 https://verify.example/740,spam,oov
Brilliant offer: absolutely free if you pay shipping: https://bank.example/120,spam,sarcasm
A crane stood quietly by the lake at dawn.,ham,wsd
FR33 access 2 premium vids ➜ https://bank.example/237,spam,oov
"Although the interface is simple, new users struggle.",ham,discourse_relations
Maya handed the laptop to Rahul while he packed the cables.,ham,coreference_anaphora
"Build baar baar fail ho raha hai, yaar.",ham,oov
"Priya emailed Nikhil after she won ₹5,000—claim: https://dealz.example/169",spam,coreference_anaphora
Amazing news—your account is perfectly safe unless you click here: https://gift.example/896,spam,sarcasm
Yeh feature kaafi helpful tha.,ham,oov
"Brilliant, the slides loaded without images.",ham,sarcasm
Get r!ch fast 💸 join: https://secure.example/269,spam,oov
Exactly what I wanted—more flaky tests.,ham,sarcasm
"If the GPU overheats, the training will stop.",ham,discourse_relations
"Naya patch aaya hai, check karna.",ham,oov
"Oh perfect, the network died during the demo.",ham,sarcasm
Crane rental discount for your site—book: https://verify.example/998,spam,wsd
Anita thanked Arun because she fixed the bug.,ham,coreference_anaphora
Isha emailed Sanjay when he reached the office.,ham,coreference_anaphora
Exactly what I wanted—more flaky tests.,ham,sarcasm
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
Riya argued with Nikhil since she missed the deadline.,ham,coreference_anaphora
You must include error bars in the report.,ham,negation_modality
Anita argued with Ravi since she missed the deadline.,ham,coreference_anaphora
Anita handed the parcel to Ravi while she confirmed delivery at https://promo.example/207,spam,coreference_anaphora
You should not remove the validation split.,ham,negation_modality
Isha emailed Rahul when he reached the office.,ham,coreference_anaphora
The fix could improve latency.,ham,negation_modality
Maya handed the laptop to Sanjay while she packed the cables.,ham,coreference_anaphora
He tuned the bass before the concert.,ham,wsd
They grilled the bass with lemon and herbs.,ham,wsd
We may postpone the release until Monday.,ham,negation_modality
"After the upgrade finished, tests started failing.",ham,discourse_relations
"Because your trial ended, renew now to avoid suspension: https://promo.example/985",spam,discourse_relations
Neha praised Sanjay as she solved the issue quickly.,ham,coreference_anaphora
Neha argued with Nikhil since he missed the deadline.,ham,coreference_anaphora
Priya praised Kunal as she qualified for a reward: https://bank.example/342,spam,coreference_anaphora
This offer might expire today—act fast: https://gift.example/299,spam,negation_modality
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
Password cannot be reset unless you confirm here: https://verify.example/230,spam,negation_modality
"Before the talk began, the slides were updated.",ham,discourse_relations
"Kal meeting hai, please be on time.",ham,oov
Yeh feature kaafi helpful tha.,ham,oov
Model output thoda weird lag raha hai.,ham,oov
Sara called Arun after she finished the report.,ham,coreference_anaphora
Bank alert: verify identity to avoid hold: https://promo.example/463,spam,wsd
Kavya praised Amit as she solved the issue quickly.,ham,coreference_anaphora
Kavya handed the laptop to Nikhil while he packed the cables.,ham,coreference_anaphora
"Wonderful timing, we 'randomly' picked you for a reward: https://air.example/422",spam,sarcasm
Anita handed the laptop to Ravi while she packed the cables.,ham,coreference_anaphora
She bought a fresh apple at the market.,ham,wsd
Neha praised Arun as he solved the issue quickly.,ham,coreference_anaphora
"Oh perfect, the network died during the demo.",ham,sarcasm
new v1agra dealz 65%OFF 👉 https://promo.example/613,spam,oov
They grilled the bass with lemon and herbs.,ham,wsd
He tuned the bass before the concert.,ham,wsd
"Brilliant, the slides loaded without images.",ham,sarcasm
He wrote a parser in Java for the assignment.,ham,wsd
It never converged on the small dataset.,ham,negation_modality
They grilled the bass with lemon and herbs.,ham,wsd
Anita handed the laptop to Amit while he packed the cables.,ham,coreference_anaphora
Neha thanked Amit because he must verify the account now: https://verify.example/869,spam,coreference_anaphora
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
"Even though it was late, they kept debugging.",ham,discourse_relations
"Before the talk began, the slides were updated.",ham,discourse_relations
"Before the deadline, complete KYC to continue: https://air.example/514",spam,discourse_relations
"Even though it was late, they kept debugging.",ham,discourse_relations
This offer might expire today—act fast: https://gift.example/682,spam,negation_modality
"Although the interface is simple, new users struggle.",ham,discourse_relations
We may postpone the release until Monday.,ham,negation_modality
It never converged on the small dataset.,ham,negation_modality
Password cannot be reset unless you confirm here: https://dealz.example/889,spam,negation_modality
"If the GPU overheats, the training will stop.",ham,discourse_relations
Riya handed the laptop to Sanjay while she packed the cables.,ham,coreference_anaphora
Exactly what I wanted—more flaky tests.,ham,sarcasm
Anita called Amit after she finished the report.,ham,coreference_anaphora
"After verification, your prize will be released: https://secure.example/568",spam,discourse_relations
You must update billing immediately: https://promo.example/397,spam,negation_modality
He wrote a parser in Java for the assignment.,ham,wsd
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
It never converged on the small dataset.,ham,negation_modality
"Although the interface is simple, new users struggle.",ham,discourse_relations
Sara handed the parcel to Nikhil while he confirmed delivery at https://pay.example/217,spam,coreference_anaphora
"Build baar baar fail ho raha hai, yaar.",ham,oov
You must verify now or the account may be locked: https://promo.example/607,spam,negation_modality
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
Kavya praised Sanjay as he solved the issue quickly.,ham,coreference_anaphora
Sara handed the laptop to Rahul while he packed the cables.,ham,coreference_anaphora
You must include error bars in the report.,ham,negation_modality
We might deploy on Friday if tests pass.,ham,negation_modality
Bank alert: verify identity to avoid hold: https://promo.example/770,spam,wsd
Riya praised Kunal as she solved the issue quickly.,ham,coreference_anaphora
Kavya called Arun after she finished the report.,ham,coreference_anaphora
"Build baar baar fail ho raha hai, yaar.",ham,oov
Fantastic job breaking the build again.,ham,sarcasm
Isha emailed Rahul when she reached the office.,ham,coreference_anaphora
"Oh perfect, the network died during the demo.",ham,sarcasm
Priya handed the laptop to Amit while he packed the cables.,ham,coreference_anaphora
It never converged on the small dataset.,ham,negation_modality
You must include error bars in the report.,ham,negation_modality
We might deploy on Friday if tests pass.,ham,negation_modality
"Even though it was late, they kept debugging.",ham,discourse_relations
new v1agra dealz 50%OFF 👉 https://promo.example/492,spam,oov
Get r!ch fast 💸 join: https://verify.example/198,spam,oov
Priya handed the laptop to Amit while she packed the cables.,ham,coreference_anaphora
Crane rental discount for your site—book: https://verify.example/675,spam,wsd
He wrote a parser in Java for the assignment.,ham,wsd
FR33 access 2 premium vids ➜ https://secure.example/957,spam,oov
"Naya patch aaya hai, check karna.",ham,oov
You must include error bars in the report.,ham,negation_modality
We may postpone the release until Monday.,ham,negation_modality
They grilled the bass with lemon and herbs.,ham,wsd
"If you confirm today, you get 80% OFF: https://verify.example/397",spam,discourse_relations
"The model is accurate, but it is slow.",ham,discourse_relations
Brilliant offer: absolutely free if you pay shipping: https://pay.example/658,spam,sarcasm
Riya handed the parcel to Rahul while he confirmed delivery at https://pay.example/301,spam,coreference_anaphora
"Although the interface is simple, new users struggle.",ham,discourse_relations
Anita argued with Rahul since he missed the deadline.,ham,coreference_anaphora
He wrote a parser in Java for the assignment.,ham,wsd
Neha praised Amit as he solved the issue quickly.,ham,coreference_anaphora
It never converged on the small dataset.,ham,negation_modality
The model is not better than the baseline.,ham,negation_modality
Model output thoda weird lag raha hai.,ham,oov
Amazing news—your account is perfectly safe unless you click here: https://pay.example/652,spam,sarcasm
The crane lifted the steel beams into place.,ham,wsd
We improved throughput since the cache was tuned.,ham,discourse_relations
Anita thanked Sanjay because she must verify the account now: https://secure.example/473,spam,coreference_anaphora
Anita praised Nikhil as she qualified for a reward: https://dealz.example/420,spam,coreference_anaphora
"Brilliant, the slides loaded without images.",ham,sarcasm
Apple announced new laptops at the event.,ham,wsd
Fantastic job breaking the build again.,ham,sarcasm
"Build baar baar fail ho raha hai, yaar.",ham,oov
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
We sipped hot java during the break.,ham,wsd
We may postpone the release until Monday.,ham,negation_modality
"Perfect, another exclusive deal just for you—totally not urgent: https://air.example/564",spam,sarcasm
"The model is accurate, but it is slow.",ham,discourse_relations
Get r!ch fast 💸 join: https://gift.example/425,spam,oov
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
"After the upgrade finished, tests started failing.",ham,discourse_relations
"Build baar baar fail ho raha hai, yaar.",ham,oov
He wrote a parser in Java for the assignment.,ham,wsd
Exactly what I wanted—more flaky tests.,ham,sarcasm
You should not remove the validation split.,ham,negation_modality
Isha emailed Rahul when she reached the office.,ham,coreference_anaphora
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
"Build baar baar fail ho raha hai, yaar.",ham,oov
"If the GPU overheats, the training will stop.",ham,discourse_relations
Password cannot be reset unless you confirm here: https://promo.example/215,spam,negation_modality
You should not remove the validation split.,ham,negation_modality
We may postpone the release until Monday.,ham,negation_modality
"Wonderful timing, we 'randomly' picked you for a reward: https://pay.example/396",spam,sarcasm
"If you confirm today, you get 90% OFF: https://bank.example/414",spam,discourse_relations
"Kal meeting hai, please be on time.",ham,oov
We sipped hot java during the break.,ham,wsd
"Even though it was late, they kept debugging.",ham,discourse_relations
We improved throughput since the cache was tuned.,ham,discourse_relations
"Great, another crash—just what I needed.",ham,sarcasm
"Win ₹2,000 now #HotDealz 😎 tap → https://pay.example/303",spam,oov
You should not remove the validation split.,ham,negation_modality
"Oh perfect, the network died during the demo.",ham,sarcasm
"Before the deadline, complete KYC to continue: https://gift.example/879",spam,discourse_relations
We sipped hot java during the break.,ham,wsd
She bought a fresh apple at the market.,ham,wsd
"Build baar baar fail ho raha hai, yaar.",ham,oov
"Win ₹10,000 now #HotDealz 😎 tap → https://air.example/486",spam,oov
Kavya called Vikram after he finished the report.,ham,coreference_anaphora
Riya handed the parcel to Arun while he confirmed delivery at https://secure.example/577,spam,coreference_anaphora
Fantastic job breaking the build again.,ham,sarcasm
Apple giveaway—claim your laptop now: https://gift.example/542,spam,wsd
"After the upgrade finished, tests started failing.",ham,discourse_relations
Yeh feature kaafi helpful tha.,ham,oov
Isha emailed Amit when she reached the office.,ham,coreference_anaphora
"Although the interface is simple, new users struggle.",ham,discourse_relations
We might deploy on Friday if tests pass.,ham,negation_modality
Anita praised Rahul as she qualified for a reward: https://air.example/732,spam,coreference_anaphora
"Perf spiked on dataset_z13b, investigating.",ham,oov
"Great, another crash—just what I needed.",ham,sarcasm
"If the GPU overheats, the training will stop.",ham,discourse_relations
We picnicked on the bank and watched the boats.,ham,wsd
"Even though it was late, they kept debugging.",ham,discourse_relations
He wrote a parser in Java for the assignment.,ham,wsd
Fantastic job breaking the build again.,ham,sarcasm
"The model is accurate, but it is slow.",ham,discourse_relations
Brilliant offer: absolutely free if you pay shipping: https://pay.example/570,spam,sarcasm
He tuned the bass before the concert.,ham,wsd
Anita called Rahul since she ignored the alert—fix: https://promo.example/722,spam,coreference_anaphora
Maya argued with Ravi since he missed the deadline.,ham,coreference_anaphora
She bought a fresh apple at the market.,ham,wsd
Exactly what I wanted—more flaky tests.,ham,sarcasm
"Brilliant, the slides loaded without images.",ham,sarcasm
The crane lifted the steel beams into place.,ham,wsd
Brilliant offer: absolutely free if you pay shipping: https://air.example/583,spam,sarcasm
Get r!ch fast 💸 join: https://pay.example/311,spam,oov
The fix could improve latency.,ham,negation_modality
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
"Before the talk began, the slides were updated.",ham,discourse_relations
Isha praised Nikhil as she solved the issue quickly.,ham,coreference_anaphora
"Even though it was late, they kept debugging.",ham,discourse_relations
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
"Oh perfect, the network died during the demo.",ham,sarcasm
Isha argued with Kunal since he missed the deadline.,ham,coreference_anaphora
You must verify now or the account may be locked: https://dealz.example/688,spam,negation_modality
"Kal meeting hai, please be on time.",ham,oov
Anita handed the laptop to Arun while she packed the cables.,ham,coreference_anaphora
We might deploy on Friday if tests pass.,ham,negation_modality
FR33 access 2 premium vids ➜ https://bank.example/642,spam,oov
"Brilliant, the slides loaded without images.",ham,sarcasm
"Riya emailed Vikram after she won ₹10,000—claim: https://verify.example/158",spam,coreference_anaphora
You should not remove the validation split.,ham,negation_modality
Model output thoda weird lag raha hai.,ham,oov
"Before the talk began, the slides were updated.",ham,discourse_relations
"After verification, your prize will be released: https://promo.example/823",spam,discourse_relations
We picnicked on the bank and watched the boats.,ham,wsd
"Build baar baar fail ho raha hai, yaar.",ham,oov
"Wonderful timing, we 'randomly' picked you for a reward: https://dealz.example/396",spam,sarcasm
"Although the interface is simple, new users struggle.",ham,discourse_relations
"Build baar baar fail ho raha hai, yaar.",ham,oov
You must include error bars in the report.,ham,negation_modality
The model is not better than the baseline.,ham,negation_modality
"If the GPU overheats, the training will stop.",ham,discourse_relations
"Perf spiked on dataset_z13b, investigating.",ham,oov
You should not remove the validation split.,ham,negation_modality
Crane rental discount for your site—book: https://air.example/577,spam,wsd
Get r!ch fast 💸 join: https://promo.example/978,spam,oov
Riya handed the laptop to Rahul while she packed the cables.,ham,coreference_anaphora
Apple announced new laptops at the event.,ham,wsd
We improved throughput since the cache was tuned.,ham,discourse_relations
"Perf spiked on dataset_z13b, investigating.",ham,oov
"Great, another crash—just what I needed.",ham,sarcasm
Sara handed the parcel to Kunal while she confirmed delivery at https://verify.example/322,spam,coreference_anaphora
Yeh feature kaafi helpful tha.,ham,oov
The model is not better than the baseline.,ham,negation_modality
Neha handed the parcel to Arun while he confirmed delivery at https://promo.example/665,spam,coreference_anaphora
A crane stood quietly by the lake at dawn.,ham,wsd
Amazing news—your account is perfectly safe unless you click here: https://secure.example/628,spam,sarcasm
We sipped hot java during the break.,ham,wsd
Anita thanked Amit because she fixed the bug.,ham,coreference_anaphora
Maya thanked Rahul because she fixed the bug.,ham,coreference_anaphora
Anita called Ravi after she finished the report.,ham,coreference_anaphora
Get r!ch fast 💸 join: https://air.example/936,spam,oov
It never converged on the small dataset.,ham,negation_modality
"If the GPU overheats, the training will stop.",ham,discourse_relations
Kavya argued with Rahul since she missed the deadline.,ham,coreference_anaphora
"Great, another crash—just what I needed.",ham,sarcasm
He tuned the bass before the concert.,ham,wsd
"Although the interface is simple, new users struggle.",ham,discourse_relations
"Before the deadline, complete KYC to continue: https://air.example/665",spam,discourse_relations
Riya praised Vikram as he solved the issue quickly.,ham,coreference_anaphora
Bank alert: verify identity to avoid hold: https://air.example/127,spam,wsd
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
"Perfect, another exclusive deal just for you—totally not urgent: https://secure.example/511",spam,sarcasm
Exactly what I wanted—more flaky tests.,ham,sarcasm
The crane lifted the steel beams into place.,ham,wsd
Anita handed the laptop to Arun while she packed the cables.,ham,coreference_anaphora
"Wonderful timing, we 'randomly' picked you for a reward: https://promo.example/785",spam,sarcasm
"Perf spiked on dataset_z13b, investigating.",ham,oov
You should not remove the validation split.,ham,negation_modality
You must include error bars in the report.,ham,negation_modality
You must update billing immediately: https://verify.example/457,spam,negation_modality
Access may be suspended unless you renew: https://gift.example/550,spam,negation_modality
Get r!ch fast 💸 join: https://pay.example/914,spam,oov
Isha argued with Rahul since she missed the deadline.,ham,coreference_anaphora
Fantastic job breaking the build again.,ham,sarcasm
Kavya handed the laptop to Vikram while she packed the cables.,ham,coreference_anaphora
